ID,y
1,76.30634
2,94.539345
3,82.0746
4,76.387115
5,108.477585
8,89.57642
10,117.42997
11,93.97738
12,116.0386
14,95.7881
15,115.84258
16,103.32486
17,97.2849
19,96.172844
20,105.04088
21,95.92997
22,117.11773
23,97.22694
26,99.05085
28,96.095245
29,97.22694
33,97.22694
35,91.13345
41,97.04765
42,93.71381
43,116.462494
45,102.49115
46,102.5027
51,94.08504
53,86.74485
55,110.439354
56,96.751045
57,108.102036
58,96.073
59,107.93218
63,108.79467
64,94.10338
65,106.703835
69,94.07713
71,98.061806
72,98.83568
73,94.410934
76,107.062035
77,101.866646
78,116.0607
82,94.83217
83,106.703835
84,93.916916
85,103.68161
87,112.197075
88,97.04765
89,111.038284
91,99.520035
93,96.70162
94,105.04744
95,97.34409
96,110.43423
97,94.65868
98,108.88226
99,94.55729
101,105.828995
103,111.038284
104,92.819244
105,108.365776
110,94.838646
111,105.0495
113,107.500946
114,93.3917
115,109.6303
117,111.038284
120,94.72255
121,112.60508
122,97.03236
123,108.00617
126,112.90334
132,109.50995
135,102.86659
137,108.11859
138,99.175964
140,97.9912
142,111.393074
144,113.10774
148,91.46785
149,111.9103
155,95.08456
156,113.003685
157,94.65868
162,112.649826
163,94.5212
167,93.23576
172,116.462494
179,107.74389
180,101.09248
181,109.96027
182,101.7733
183,111.038284
185,111.038284
187,114.10698
188,94.8654
189,93.40599
191,92.86634
192,103.021774
193,93.536835
194,109.743805
195,93.83473
196,109.96313
198,110.43068
199,112.47451
201,103.601326
204,99.27824
205,104.71395
206,101.540565
210,95.3053
211,105.828995
216,112.40493
219,116.0386
220,97.60122
221,100.13585
226,109.96027
227,97.158714
228,112.25114
230,109.44282
231,94.65868
235,117.46364
236,93.857025
238,112.00707
242,103.013084
243,98.6479
244,80.04323
245,111.33068
247,109.9104
248,88.829765
249,93.71951
250,110.043274
251,93.857025
253,117.46364
254,94.4231
256,93.699036
257,95.62026
258,112.22065
259,94.33754
262,87.38692
266,96.64117
267,109.38596
272,106.41815
273,111.038284
275,117.82862
276,115.824005
279,94.86748
280,106.703835
283,91.892494
285,112.11425
288,111.038284
289,98.16878
290,103.601326
291,95.047134
292,109.931816
293,111.36338
296,117.95007
297,111.584694
298,116.0607
299,94.83217
304,91.76888
305,80.7685
306,93.22277
307,109.96027
311,104.38153
313,109.96027
314,95.14293
316,96.06909
324,94.54634
327,94.88473
329,91.99497
330,109.939476
337,104.43715
338,98.95778
339,107.817986
340,94.10224
343,91.82078
345,115.84258
346,94.134705
347,109.78429
349,107.89935
350,93.33742
352,107.94554
353,94.15241
354,80.298485
357,94.0156
358,109.39856
362,117.32948
364,104.52537
365,102.929
366,94.686386
367,112.729805
368,98.55141
370,79.784744
373,96.631004
377,93.4716
378,114.09555
382,107.062035
384,112.25114
390,98.00102
392,109.60622
393,110.23232
395,95.08453
396,107.16734
399,80.23957
406,109.96027
